code,similarity,nl
yes Regex | head -n Quantity | xargs -I {} echo {},yes regex | head -n quantity | xargs -i {} echo {},repeat _FILE _NUMBER time on a singl line
yes Regex | head - Quantity | awk Program,yes regex | head - quantity | awk program,print _NUMBER space separ _REGEX with at most _NUMBER per line
find Path,find path,find all file and directori start from current directori
find Path -mtime +Timespan -exec du -s -h {} \;,find path -mtime +timespan -exec du -s -h {} \;,search for all file which not been modifi in _TIMESPAN in current folder and display disk usag of them
find Path -name Regex -prune -or \( -type f -mtime Timespan -print0 \),find path -name regex -prune -or \( -type f -mtime timespan -print0 \),find all file under _FILE directori without descend into _FILE directori that were modifi in _TIMESPAN with null charact as delimit
rename Regex Regex,rename regex regex,renam all file in current directori to lowercas
find Path -type f -name Regex,find path -type f -name regex,find all _FILE file under _DIRECTORY directori
find Path -name Regex | xargs -I {} ls -l {},find path -name regex | xargs -i {} ls -l {},list all _REGEX file and directori under current directori
echo Regex | od -c,echo regex | od -c,print a hex dump of _REGEX as charact
grep Regex $( uname -r ),grep regex $( uname -r ),display all line contain probe in current kernel 's compile-tim config file
find Path -type d -print | wc -l,find path -type d -print | wc -l,display count of all directori in current folder
find Path -type f -printf '%T@ %p\n' | sort -n | tail - Quantity | cut -f Number -d Regex | sed Program | xargs -I {} ls -l {},find path -type f -printf '%t@ %p\n' | sort -n | tail - quantity | cut -f number -d regex | sed program | xargs -i {} ls -l {},find recurs latest modifi file in current directori
set $( od -j Size -N File -t u1 File ),set $( od -j size -n file -t u1 file ),extract _SIZE as an unsign integ that is _REGEX offset into _REGEX
sort File,sort file,sort file _FILE by line to standard output
find Path -name Regex -print,find path -name regex -print,search file _FILE in current folder
find Path \( -perm -Permission -or -perm -Permission \) \( ! -type -l \) -ls,find path \( -perm -permission -or -perm -permission \) \( ! -type -l \) -ls,find all file that wrong permiss
find Path -iregex Regex -iregex Regex,find path -iregex regex -iregex regex,search for all file with either _REGEX or _REGEX in path name
zcat Regex | sed -n Program,zcat regex | sed -n program,unzip and extract _FILE from _FILE
find Path \( -name Regex -or -name Regex \) -print,find path \( -name regex -or -name regex \) -print,look in current directori and below for all file whose name begin with either _REGEX or _REGEX
find Path -ctime +Timespan -print,find path -ctime +timespan -print,search in current directori downward all file whose status chang more _TIMESPAN ago
find . -type f -printf %s +  | dc -e0 -f- -ep,find . -type f -printf %s +  | dc -e0 -f- -ep,get total size in byte of all file in current directori tree
find Path -name Regex -type f -exec grep -H -n Regex {} + | wc -l,find path -name regex -type f -exec grep -h -n regex {} + | wc -l,search for a word in all _FILE file in current folder and display count of all match line
find Path -iregex Regex,find path -iregex regex,find all file and directori case insensit contain _REGEX in name under _FILE directori tree
find Path -iregex Regex | head,find path -iregex regex | head,find all file and directori under current directori that match case insensit regex _FILE and show sever line of output from begin
find Path -name Regex -exec grep Regex {} \;,find path -name regex -exec grep regex {} \;,search file resid in current directori tree whose name contain _REGEX for _REGEX
diff File | grep Regex,diff file | grep regex,display differ in _FILE when compar to _FILE
find Path -name Regex -exec basename Regex Regex \;,find path -name regex -exec basename regex regex \;,display base name of all _FILE file in current folder
"rsync -r -c -n --out-format ""%n"" File File","rsync -r -c -n --out-format ""%n"" file file",recurs copi _DIRECTORY to _DIRECTORY as a dri run skip file that match checksum and output name onli
find Path -name Regex -exec sed -i Program {} \;,find path -name regex -exec sed -i program {} \;,replac all occurr of _REGEX with _REGEX in all _FILE file in current directori tree
rm $(<xaa),rm $(<xaa),remov file that are list in file _REGEX
tempfile=XXX-$(od -N4 -tu /dev/random | awk NR==1 {print $2} {}),tempfile=xxx-$(od -n4 -tu /dev/random | awk nr==1 {print $2} {}),save _REGEX follow by a random _SIZE unsign integ to variabl _REGEX
find Path -type f -exec ls -l -r -t {} \; | awk -F Regex Program,find path -type f -exec ls -l -r -t {} \; | awk -f regex program,find all file name in current directori _REGEX will file all file output awk use for print onli file name
find Path -iname Regex | xargs -I {} rm {},find path -iname regex | xargs -i {} rm {},remov all file from current directori tree whose name end in _REGEX
cat File File | sort -t Regex -k Number,cat file file | sort -t regex -k number,sort content of file _REGEX and _REGEX by second of dot-separ field
find Path -print0 | xargs -0 -I {} chown Regex {},find path -print0 | xargs -0 -i {} chown regex {},find all file and directori under _FILE and chang owner and group to www-data
find Path -mindepth Quantity -name Regex,find path -mindepth quantity -name regex,find all file and directori name file in minimum _NUMBER level down current directori
find Path -name Regex -type d,find path -name regex -type d,find directori which name is cookbook under _FILE
find Path -type f,find path -type f,find all file under _REGEX
find Path -type f -exec mv -v {} File \;,find path -type f -exec mv -v {} file \;,find all regular file in current folder and renam them to _FILE file
"find . -type f -exec sh -c cp ""$@"" /tmp {} +","find . -type f -exec sh -c cp ""$@"" /tmp {} +",copi all regular file from current directori tree to _FILE
find /path/to/file -type f -size +51200c 2>/dev/null,find /path/to/file -type f -size +51200c 2>/dev/null,find all file under _FILE which are greater than _SIZE
ssh -N -i <( echo Regex ) -R Regex Regex,ssh -n -i <( echo regex ) -r regex regex,forward port _NUMBER on _FILE to _NUMBER on localhost use privat key _REGEX for login
screen -list,screen -list,list screen session id
find /students -type l -print 2> /dev/null,find /students -type l -print 2> /dev/null,find all link in directori student and print them not display ani error
comm -1 -2 <( find Path -maxdepth Quantity ) <( find Path ),comm -1 -2 <( find path -maxdepth quantity ) <( find path ),list all _REGEX and _REGEX file and directori and take common entri between these _NUMBER list
find -name *.flac -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 ;,find -name *.flac -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 ;,find all _FILE file in current folder and convert them to _FILE with _SIZE bit rate
du -s File | read Regex,du -s file | read regex,read first line of output from _REGEX into variabl _REGEX in ksh
find Path -name Regex -prune -or -type d -printf ':%p',find path -name regex -prune -or -type d -printf ':%p',find all directori under _FILE without descend into hidden directori and print them append with
ssh -n -f user@host sh -c 'cd /whereever; nohup ./whatever > /dev/null 2>&1 &',ssh -n -f user@host sh -c 'cd /whereever; nohup ./whatever > /dev/null 2>&1 &',execut _FILE in background on target machin _REGEX
find . 2>/dev/null > some_file,find . 2>/dev/null > some_file,list all file under current directori write output to file _REGEX suppress all error messag
find Path -name Regex -printf '%h\n',find path -name regex -printf '%h\n',find all _FILE file in current directori tree and print pathnam of parent directori
comm -2 -3 File File,comm -2 -3 file file,print uniqu line of sort file _REGEX compar to sort file _REGEX
file File,file file,display file type descript of _FILE ie symbol link elf execut etc
find . -name *.txt -exec process {} ;,find . -name *.txt -exec process {} ;,find all _FILE file and directori under current directori and execut process for each of them
find Path -name Regex -prune -or -name Regex,find path -name regex -prune -or -name regex,find all file name _REGEX in current directori tree not descend into _REGEX directori
find Path -type f -mtime +Timespan -name Regex -exec cp {} File \;,find path -type f -mtime +timespan -name regex -exec cp {} file \;,copi all _FILE file in current folder which not been access in _TIMESPAN to folder old
ssh $USER@$SERVER cd ${REMOTE_PATH}; mkdir -p $i < /dev/null,ssh $user@$server cd ${remote_path}; mkdir -p $i < /dev/null,execut _REGEX on host _REGEX as user _REGEX and connect standard input to _FILE
find Path -name Regex | xargs -r -I {} ls -t -c {} | head -n Quantity,find path -name regex | xargs -r -i {} ls -t -c {} | head -n quantity,get onli latest version of file _REGEX under current directori
find Path -name Regex,find path -name regex,find all file and directori name _FILE under current directori tree
find Path -regex Regex,find path -regex regex,serach for all file start with grep in man page
for D in `find . -iname *.php~`; do mv ${D} /mydir; done,for d in `find . -iname *.php~`; do mv ${d} /mydir; done,move all _FILE file under current directori to _FILE
find Path -name Regex,find path -name regex,locat all _FILE file in current directori tree
find Path ! -type d | xargs -I {} wc -c {},find path ! -type d | xargs -i {} wc -c {},get size of all file under _REGEX directori
find Path -type f -name Regex -exec sed -n Program File +,find path -type f -name regex -exec sed -n program file +,find all _FILE file under _REGEX and print line match regex _FILE from those file
scp -P Regex File File File File File File,scp -p regex file file file file file file,connect to port _NUMBER of specifi ip address or hostnam as ssh user _REGEX and copi all visibl file in _DIRECTORY on host to local directori _FILE directori alreadi exist on local host
find Path -size +Size,find path -size +size,list file larger than _SIZE resid in current directori and below
find . -exec grep -l -e myregex {} ; >> outfile.txt,find . -exec grep -l -e myregex {} ; >> outfile.txt,find file match regex _REGEX in content and append list of these file to _FILE
find Path -name Regex -print0 | xargs -0 -I {} grep -H Regex {},find path -name regex -print0 | xargs -0 -i {} grep -h regex {},find all _FILE file in all directori tree match pattern _DIRECTORY and search those file for string _REGEX
